Grupos de edad;Ambos Sexos
05-09;1.728
10-14;1.627
15-19;1.383
20-24;1.082
25-29;853
30-34;717
35-39;636
40-44;568
45-49;478
50-54;379
55-59;340
60-64;264
65-69;181
70-74;128
75-79;94
80-84;64
85-89;32
90-94;34
95-99;16
100 AÑOS Y MÁS;5
El Cantón del San Pablo;
Total;6.286
00-04;727
05-09;721
10-14;667
15-19;572
20-24;491
25-29;518
30-34;513
35-39;404
40-44;297
45-49;236
50-54;226
55-59;244
60-64;205
65-69;139
70-74;97
75-79;82
80-84;66
85-89;38
90-94;30
95-99;11
100 AÑOS Y MÁS;2
Carmen del Darien;
Total;19.509
00-04;2.314
05-09;2.377
10-14;2.342
15-19;2.082
20-24;1.682
25-29;1.492
30-34;1.394
35-39;1.214
40-44;1.051
45-49;892
50-54;682
55-59;567
60-64;468
65-69;375
70-74;250
75-79;144
80-84;79
85-89;39
90-94;33
95-99;25
100 AÑOS Y MÁS;7
Cértegui;
Total;5.760
00-04;549
05-09;564
10-14;560
15-19;516
20-24;444
25-29;457
30-34;474
35-39;380
40-44;298
45-49;267
50-54;260
55-59;258
60-64;211
65-69;163
70-74;124
75-79;86
80-84;64
85-89;46
90-94;31
95-99;8
100 AÑOS Y MÁS;0
Condoto;
Total;12.367
00-04;1.178
05-09;1.277
10-14;1.334
15-19;1.203
20-24;958
25-29;937
30-34;923
35-39;790
40-44;678
45-49;604
50-54;538
55-59;510
60-64;454
65-69;357
70-74;230
75-79;147
80-84;103
85-89;71
90-94;46
95-99;24
100 AÑOS Y MÁS;5
El Carmen de Atrato;
Total;8.212
00-04;750
05-09;786
10-14;808
15-19;773
20-24;693
25-29;615
30-34;560
35-39;493
40-44;446
45-49;416
50-54;409
55-59;410
60-64;355
65-69;265
70-74;171
75-79;101
80-84;64
85-89;43
90-94;33
95-99;14
100 AÑOS Y MÁS;7
El Litoral del San Juan;
Total;22.890
00-04;2.882
05-09;2.960
10-14;2.929
15-19;2.673
20-24;2.219
25-29;1.670
30-34;1.266
35-39;1.110
40-44;1.134
45-49;1.006
50-54;759
55-59;682
60-64;574
65-69;391
70-74;227
75-79;141
80-84;110
85-89;68
90-94;47
95-99;32
100 AÑOS Y MÁS;10
Istmina;
Total;30.806
00-04;3.098
05-09;3.235
10-14;3.235
15-19;3.175
20-24;2.895
25-29;2.642
30-34;2.497
35-39;2.000
40-44;1.558
45-49;1.313
50-54;1.221
55-59;1.172
60-64;939
65-69;631
70-74;397
75-79;279
80-84;216
85-89;158
90-94;88
95-99;37
100 AÑOS Y MÁS;20
Juradó;
Total;6.841
00-04;878
05-09;888
10-14;842
15-19;719
20-24;586
25-29;529
30-34;477
35-39;379
40-44;316
45-49;291
50-54;250
55-59;206
60-64;154
65-69;110
70-74;69
75-79;55
80-84;39
85-89;28
90-94;12
95-99;13
100 AÑOS Y MÁS;0
Lloró;
Total;9.913
00-04;1.758
05-09;1.550
10-14;1.117
15-19;805
20-24;722
25-29;660
30-34;576
35-39;471
40-44;432
45-49;405
50-54;339
55-59;298
60-64;245
65-69;174
70-74;119
75-79;82
80-84;61
85-89;44
90-94;32
95-99;19
100 AÑOS Y MÁS;4
Medio Atrato;
Total;10.930
00-04;963
05-09;1.069
10-14;1.207
15-19;1.226
20-24;1.089
25-29;953
30-34;802
35-39;668
40-44;615
45-49;565
50-54;474
55-59;409
60-64;294
65-69;181
70-74;117
75-79;101
80-84;85
85-89;50
90-94;24
95-99;18
100 AÑOS Y MÁS;20
Medio Baudó;
Total;15.683
00-04;1.890
05-09;1.949
10-14;1.918
15-19;1.671
20-24;1.257
25-29;1.073
30-34;1.071
35-39;923
40-44;772
45-49;672
50-54;566
55-59;526
60-64;436
65-69;274
70-74;185
75-79;183
80-84;157
85-89;93
90-94;39
95-99;20
100 AÑOS Y MÁS;8
Medio San Juan;
Total;10.826
00-04;1.175
05-09;1.195
10-14;1.147
15-19;998
20-24;841
25-29;803
30-34;729
35-39;590
40-44;531
45-49;501
50-54;467
55-59;468
60-64;407
65-69;308
70-74;219
75-79;161
80-84;122
85-89;86
90-94;51
95-99;22
100 AÑOS Y MÁS;5
Nóvita;
Total;9.105
00-04;993
05-09;997
10-14;939
15-19;804
20-24;676
25-29;737
30-34;760
35-39;588
40-44;465
45-49;414
50-54;382
55-59;370
60-64;316
65-69;238
70-74;149
75-79;93
80-84;72
85-89;51
90-94;33
95-99;22
100 AÑOS Y MÁS;6
Nuquí;
Total;16.642
00-04;2.098
05-09;2.110
10-14;2.017
15-19;1.785
20-24;1.411
25-29;1.189
30-34;1.082
35-39;921
40-44;835
45-49;738
50-54;600
55-59;553
60-64;444
65-69;330
70-74;210
75-79;130
80-84;90
85-89;69
90-94;14
95-99;13
100 AÑOS Y MÁS;3
Río Iro;
Total;5.592
00-04;630
05-09;660
10-14;655
15-19;537
20-24;397
25-29;395
30-34;358
35-39;262
40-44;234
45-49;239
50-54;226
55-59;240
60-64;227
65-69;181
70-74;125
75-79;89
80-84;75
85-89;47
90-94;11
95-99;4
100 AÑOS Y MÁS;0
Río Quito;
Total;8.448
00-04;910
05-09;932
10-14;911
15-19;817
20-24;761
25-29;753
30-34;638
35-39;466
40-44;390
45-49;384
50-54;349
55-59;319
60-64;263
65-69;189
70-74;117
75-79;84
80-84;69
85-89;49
90-94;29
95-99;13
100 AÑOS Y MÁS;5
Riosucio;
Total;55.232
00-04;4.523
05-09;4.988
10-14;5.534
15-19;5.505
20-24;4.814
25-29;4.602
30-34;4.646
35-39;4.238
40-44;3.738
45-49;3.188
50-54;2.494
55-59;2.087
60-64;1.721
65-69;1.252
70-74;744
75-79;442
80-84;310
85-89;199
90-94;121
95-99;52
100 AÑOS Y MÁS;34
San José del Palmar;
Total;4.961
00-04;501
05-09;528
10-14;531
15-19;470
20-24;389
25-29;381
30-34;378
35-39;323
40-44;276
45-49;242
50-54;224
55-59;219
60-64;177
65-69;116
70-74;83
75-79;51
80-84;27
85-89;19
90-94;14
95-99;10
100 AÑOS Y MÁS;2
Sipí;
Total;3.220
00-04;356
05-09;385
10-14;403
15-19;361
20-24;286
25-29;261
30-34;235
35-39;195
40-44;171
45-49;149
50-54;101
55-59;76
60-64;75
65-69;70
70-74;44
75-79;22
80-84;13
85-89;8
90-94;4
95-99;5
100 AÑOS Y MÁS;0
Tadó;
Total;17.913
00-04;1.890
05-09;1.952
10-14;1.913
15-19;1.695
20-24;1.396
25-29;1.350
30-34;1.305
35-39;1.094
40-44;922
45-49;839
50-54;813
55-59;776
60-64;630
65-69;464
70-74;307
75-79;202
80-84;148
85-89;108
90-94;72
95-99;31
100 AÑOS Y MÁS;6
Unguía;
Total;12.822
00-04;1.345
05-09;1.435
10-14;1.482
15-19;1.322
20-24;1.036
25-29;946
30-34;923
35-39;826
40-44;750
45-49;654
50-54;506
55-59;429
60-64;365
65-69;297
70-74;201
75-79;115
80-84;76
85-89;52
90-94;38
95-99;20
100 AÑOS Y MÁS;4
Unión Panamericana;
Total;6.982
00-04;635
05-09;661
10-14;673
15-19;633
20-24;602
25-29;648
30-34;637
35-39;504
40-44;377
45-49;324
50-54;299
55-59;273
60-64;227
65-69;170
70-74;106
75-79;69
80-84;59
85-89;45
90-94;27
95-99;11
100 AÑOS Y MÁS;2
Neiva;
Total;364.408
00-04;31.284
05-09;30.268
10-14;29.106
15-19;29.348
20-24;29.868
25-29;29.532
30-34;27.163
35-39;25.417
40-44;22.903
45-49;20.819
50-54;20.499
55-59;19.382
60-64;16.189
65-69;12.187
70-74;8.564
75-79;5.452
80-84;3.217
85-89;1.805
90-94;938
95-99;346
100 AÑOS Y MÁS;121
Acevedo;
Total;25.298
00-04;2.763
05-09;2.784
10-14;2.744
15-19;2.543
20-24;2.194
25-29;1.959
30-34;1.796
35-39;1.672
40-44;1.448
45-49;1.212
50-54;1.068
55-59;910
60-64;719
65-69;523
70-74;363
75-79;243
80-84;164
85-89;103
90-94;53
95-99;27
100 AÑOS Y MÁS;10
Agrado;
Total;8.937
00-04;872
05-09;872
10-14;867
15-19;839
20-24;728
25-29;643
30-34;589
35-39;544
40-44;486
45-49;442
50-54;426
55-59;416
60-64;369
65-69;285
70-74;212
75-79;149
80-84;95
85-89;59
90-94;29
95-99;13
100 AÑOS Y MÁS;2
Aipe;
Total;16.546
00-04;1.621
05-09;1.599
10-14;1.543
15-19;1.457
20-24;1.333
25-29;1.205
30-34;1.074
35-39;1.013
40-44;952
45-49;907
50-54;873
55-59;764
60-64;636
65-69;531
70-74;420
75-79;274
80-84;163
85-89;93
90-94;49
95-99;32
100 AÑOS Y MÁS;7
Algeciras;
Total;22.575
00-04;1.957
05-09;2.114
10-14;2.275
15-19;2.220
20-24;1.916
25-29;1.675
30-34;1.519
35-39;1.420
40-44;1.297
45-49;1.191
50-54;1.121
55-59;1.034
60-64;874
65-69;671
70-74;495
75-79;344
80-84;223
85-89;129
90-94;63
95-99;32
100 AÑOS Y MÁS;5
Altamira;
Total;4.367
00-04;305
05-09;341
10-14;375
15-19;561
20-24;436
25-29;268
30-34;250
35-39;256
40-44;247
45-49;236
50-54;248
55-59;241
60-64;201
65-69;133
70-74;92
75-79;74
80-84;53
85-89;27
90-94;12
95-99;11
100 AÑOS Y MÁS;0
Baraya;
Total;8.269
00-04;547
05-09;653
10-14;791
15-19;898
20-24;743
25-29;529
30-34;467
35-39;468
40-44;478
45-49;486
50-54;493
55-59;448
60-64;365
65-69;298
70-74;234
75-79;161
80-84;97
85-89;54
90-94;31
95-99;23
100 AÑOS Y MÁS;5
Campoalegre;
Total;31.357
00-04;2.698
05-09;2.706
10-14;2.699
15-19;2.645
20-24;2.468
25-29;2.345
30-34;2.135
35-39;2.001
40-44;1.899
45-49;1.842
50-54;1.823
55-59;1.665
60-64;1.348
65-69;1.078
70-74;839
75-79;555
80-84;321
85-89;170
90-94;81
95-99;33
100 AÑOS Y MÁS;6
Colombia;
Total;7.064
00-04;690
05-09;666
10-14;628
15-19;576
20-24;525
25-29;480
30-34;420
35-39;420
40-44;440
45-49;412
50-54;390
55-59;359
60-64;305
65-69;256
70-74;202
75-79;134
80-84;81
85-89;46
90-94;22
95-99;12
100 AÑOS Y MÁS;0
Elías;
Total;4.300
00-04;347
05-09;373
10-14;396
15-19;381
20-24;328
25-29;288
30-34;265
35-39;258
40-44;256
45-49;251
50-54;247
55-59;225
60-64;186
65-69;144
70-74;122
75-79;100
80-84;68
85-89;37
90-94;23
95-99;5
100 AÑOS Y MÁS;0
Garzón;
Total;74.136
00-04;6.927
05-09;6.957
10-14;6.956
15-19;6.811
20-24;6.170
25-29;5.601
30-34;5.138
35-39;4.834
40-44;4.294
45-49;3.923
50-54;3.866
55-59;3.578
60-64;2.932
65-69;2.202
70-74;1.552
75-79;1.025
80-84;672
85-89;408
90-94;210
95-99;69
100 AÑOS Y MÁS;11
Gigante;
Total;24.726
00-04;2.057
05-09;2.188
10-14;2.311
15-19;2.254
20-24;1.961
25-29;1.727
30-34;1.595
35-39;1.561
40-44;1.428
45-49;1.336
50-54;1.387
55-59;1.335
60-64;1.125
65-69;849
70-74;593
75-79;433
80-84;300
85-89;173
90-94;79
95-99;29
100 AÑOS Y MÁS;5
Guadalupe;
Total;18.302
00-04;1.815
05-09;1.831
10-14;1.816
15-19;1.711
20-24;1.460
25-29;1.285
30-34;1.192
35-39;1.151
40-44;1.063
45-49;984
50-54;944
55-59;850
60-64;672
65-69;479
70-74;351
75-79;275
80-84;199
85-89;121
90-94;66
95-99;31
100 AÑOS Y MÁS;6
Hobo;
Total;7.387
00-04;729
05-09;719
10-14;689
15-19;646
20-24;596
25-29;557
30-34;487
35-39;447
40-44;425
45-49;401
50-54;385
55-59;345
60-64;273
65-69;209
70-74;171
75-79;133
80-84;90
85-89;47
90-94;22
95-99;14
100 AÑOS Y MÁS;2
Iquira;
Total;9.345
00-04;1.016
05-09;967
10-14;909
15-19;863
20-24;764
25-29;651
30-34;548
35-39;552
40-44;541
45-49;484
50-54;454
55-59;421
60-64;339
65-69;266
70-74;217
75-79;149
80-84;91
85-89;56
90-94;35
95-99;22
100 AÑOS Y MÁS;0
Isnos;
Total;25.719
00-04;2.309
05-09;2.338
10-14;2.376
15-19;2.376
20-24;2.243
25-29;2.089
30-34;1.921
35-39;1.774
40-44;1.572
45-49;1.395
50-54;1.278
55-59;1.100
60-64;878
65-69;697
70-74;538
75-79;370
80-84;228
85-89;141
90-94;67
95-99;25
100 AÑOS Y MÁS;4
La Argentina;
Total;13.162
00-04;1.347
05-09;1.354
10-14;1.334
15-19;1.247
20-24;1.088
25-29;978
30-34;922
35-39;892
40-44;801
45-49;684
50-54;601
55-59;532
60-64;455
65-69;348
70-74;241
75-79;150
80-84;85
85-89;50
90-94;26
95-99;25
100 AÑOS Y MÁS;2
La Plata;
Total;62.380
00-04;6.746
05-09;6.532
10-14;6.199
15-19;5.827
20-24;5.246
25-29;4.793
30-34;4.343
35-39;3.979
40-44;3.461
45-49;3.030
50-54;2.847
55-59;2.595
60-64;2.130
65-69;1.612
70-74;1.195
75-79;822
80-84;508
85-89;290
90-94;147
95-99;52
100 AÑOS Y MÁS;26
Nátaga;
Total;6.573
00-04;775
05-09;726
10-14;655
15-19;591
20-24;531
25-29;478
30-34;424
35-39;395
40-44;352
45-49;303
50-54;276
55-59;259
60-64;231
65-69;197
70-74;141
75-79;93
80-84;64
85-89;41
90-94;25
95-99;16
100 AÑOS Y MÁS;0
Oporapa;
Total;11.920
00-04;1.444
05-09;1.383
10-14;1.295
15-19;1.196
20-24;1.022
25-29;844
30-34;761
35-39;746
40-44;681
45-49;578
50-54;490
55-59;411
60-64;335
65-69;257
70-74;188
75-79;134
80-84;83
85-89;44
90-94;17
95-99;10
100 AÑOS Y MÁS;1
Paicol;
Total;6.722
00-04;627
05-09;641
10-14;657
15-19;628
20-24;546
25-29;457
30-34;425
35-39;432
40-44;416
45-49;381
50-54;351
55-59;318
60-64;259
65-69;189
70-74;142
75-79;99
80-84;71
85-89;42
90-94;26
95-99;15
100 AÑOS Y MÁS;0
Palermo;
Total;26.881
00-04;2.440
05-09;2.361
10-14;2.266
15-19;2.223
20-24;2.165
25-29;2.077
30-34;1.857
35-39;1.706
40-44;1.587
45-49;1.591
50-54;1.604
55-59;1.419
60-64;1.124
65-69;853
70-74;645
75-79;435
80-84;263
85-89;151
90-94;73
95-99;32
100 AÑOS Y MÁS;9
Palestina;
Total;11.395
00-04;1.231
05-09;1.151
10-14;1.052
15-19;997
20-24;959
25-29;941
30-34;854
35-39;773
40-44;666
45-49;575
50-54;548
55-59;486
60-64;379
65-69;283
70-74;210
75-79;134
80-84;76
85-89;46
90-94;21
95-99;12
100 AÑOS Y MÁS;1
Pital;
Total;13.927
00-04;1.608
05-09;1.517
10-14;1.379
15-19;1.242
20-24;1.096
25-29;998
30-34;893
35-39;835
40-44;780
45-49;708
50-54;652
55-59;591
60-64;493
65-69;378
70-74;285
75-79;211
80-84;136
85-89;69
90-94;32
95-99;20
100 AÑOS Y MÁS;4
Pitalito;
Total;128.630
00-04;11.871
05-09;11.845
10-14;11.858
15-19;11.956
20-24;11.571
25-29;10.771
30-34;9.599
35-39;8.889
40-44;7.841
45-49;6.815
50-54;6.230
55-59;5.511
60-64;4.471
65-69;3.328
70-74;2.420
75-79;1.669
80-84;1.008
85-89;561
90-94;289
95-99;102
100 AÑOS Y MÁS;25
Rivera;
Total;25.131
00-04;2.007
05-09;1.999
10-14;2.045
15-19;2.059
20-24;2.245
25-29;2.204
30-34;1.912
35-39;1.734
40-44;1.557
45-49;1.433
50-54;1.364
55-59;1.223
60-64;1.020
65-69;805
70-74;593
75-79;398
80-84;251
85-89;146
90-94;86
95-99;39
100 AÑOS Y MÁS;11
Saladoblanco;
Total;10.567
00-04;1.222
05-09;1.186
10-14;1.118
15-19;1.014
20-24;885
25-29;769
30-34;691
35-39;654
40-44;603
45-49;531
50-54;456
55-59;373
60-64;312
65-69;254
70-74;187
75-79;139
80-84;97
85-89;48
90-94;17
95-99;11
100 AÑOS Y MÁS;0
San Agustín;
Total;33.727
00-04;3.079
05-09;2.983
10-14;2.885
15-19;2.888
20-24;2.908
25-29;2.796
30-34;2.456
35-39;2.248
40-44;2.072
45-49;1.863
50-54;1.707
55-59;1.519
60-64;1.250
65-69;1.002
70-74;801
75-79;584
80-84;349
85-89;189
90-94;97
95-99;44
100 AÑOS Y MÁS;7
Santa María;
Total;10.462
00-04;1.158
05-09;1.080
10-14;979
15-19;908
20-24;845
25-29;774
30-34;700
35-39;687
40-44;627
45-49;532
50-54;496
55-59;469
60-64;392
65-69;300
70-74;215
75-79;137
80-84;85
85-89;46
90-94;20
95-99;12
100 AÑOS Y MÁS;0
Suaza;
Total;22.729
00-04;2.487
05-09;2.355
10-14;2.180
15-19;2.054
20-24;1.897
25-29;1.725
30-34;1.550
35-39;1.460
40-44;1.343
45-49;1.207
50-54;1.094
55-59;942
60-64;729
65-69;553
70-74;418
75-79;291
80-84;189
85-89;129
90-94;82
95-99;37
100 AÑOS Y MÁS;7
Tarqui;
Total;17.729
00-04;1.668
05-09;1.749
10-14;1.812
15-19;1.736
20-24;1.502
25-29;1.330
30-34;1.182
35-39;1.119
40-44;1.056
45-49;942
50-54;860
55-59;774
60-64;614
65-69;450
70-74;348
75-79;260
80-84;171
85-89;92
90-94;34
95-99;25
100 AÑOS Y MÁS;5
Tesalia;
Total;10.923
00-04;1.023
05-09;1.010
10-14;988
15-19;951
20-24;856
25-29;779
30-34;710
35-39;698
40-44;670
45-49;602
50-54;562
55-59;533
60-64;464
65-69;353
70-74;262
75-79;192
80-84;129
85-89;76
90-94;40
95-99;21
100 AÑOS Y MÁS;4
Tello;
Total;11.800
00-04;1.085
05-09;1.110
10-14;1.118
15-19;1.065
20-24;922
25-29;802
30-34;746
35-39;718
40-44;680
45-49;654
50-54;634
55-59;579
60-64;495
65-69;390
70-74;300
75-79;217
80-84;137
85-89;75
90-94;41
95-99;26
100 AÑOS Y MÁS;6
Teruel;
Total;8.094
00-04;806
05-09;764
10-14;710
15-19;691
20-24;655
25-29;633
30-34;562
35-39;498
40-44;429
45-49;389
50-54;402
55-59;402
60-64;353
65-69;270
70-74;191
75-79;133
80-84;87
85-89;56
90-94;37
95-99;23
100 AÑOS Y MÁS;3
Timaná;
Total;22.070
00-04;1.909
05-09;1.967
10-14;2.023
15-19;1.998
20-24;1.791
25-29;1.592
30-34;1.446
35-39;1.414
40-44;1.347
45-49;1.230
50-54;1.172
55-59;1.090
60-64;925
65-69;734
70-74;554
75-79;396
80-84;256
85-89;138
90-94;56
95-99;28
100 AÑOS Y MÁS;4
Villavieja;
Total;7.240
00-04;647
05-09;589
10-14;528
15-19;518
20-24;526
25-29;511
30-34;472
35-39;468
40-44;476
45-49;472
50-54;458
55-59;416
60-64;360
65-69;285
70-74;200
75-79;136
80-84;87
85-89;53
90-94;27
95-99;11
100 AÑOS Y MÁS;0
Yaguará;
Total;7.824
00-04;633
05-09;622
10-14;608
15-19;609
20-24;613
25-29;627
30-34;569
35-39;495
40-44;448
45-49;469
50-54;500
55-59;472
60-64;376
65-69;274
70-74;198
75-79;128
80-84;82
85-89;50
90-94;33
95-99;16
100 AÑOS Y MÁS;2
Riohacha;
Total;201.839
00-04;23.867
05-09;22.921
10-14;20.420
15-19;19.142
20-24;19.026
25-29;17.780
30-34;15.777
35-39;13.749
40-44;11.108
45-49;9.077
50-54;7.850
55-59;6.827
60-64;5.315
65-69;3.610
70-74;2.306
75-79;1.422
80-84;840
85-89;443
90-94;209
95-99;92
100 AÑOS Y MÁS;58
Albania;
Total;32.265
00-04;3.772
05-09;3.716
10-14;3.491
15-19;3.646
20-24;3.379
25-29;2.741
30-34;2.376
35-39;2.060
40-44;1.698
45-49;1.430
50-54;1.242
55-59;1.020
60-64;688
65-69;417
70-74;259
75-79;142
80-84;84
85-89;42
90-94;26
95-99;27
100 AÑOS Y MÁS;9
Barrancas;
Total;38.348
00-04;4.100
05-09;4.081
10-14;3.891
15-19;3.920
20-24;3.876
25-29;3.303
30-34;2.855
35-39;2.586
40-44;2.179
45-49;1.781
50-54;1.461
55-59;1.276
60-64;1.013
65-69;723
70-74;493
75-79;335
80-84;228
85-89;131
90-94;70
95-99;36
100 AÑOS Y MÁS;10
Dibulla;
Total;42.060
00-04;4.898
05-09;5.043
10-14;4.760
15-19;4.467
20-24;3.985
25-29;3.446
30-34;3.040
35-39;2.647
40-44;2.293
45-49;1.924
50-54;1.518
55-59;1.329
60-64;1.000
65-69;683
70-74;452
75-79;253
80-84;141
85-89;87
90-94;52
95-99;27
100 AÑOS Y MÁS;15
Distracción;
Total;14.248
00-04;1.452
05-09;1.446
10-14;1.359
15-19;1.436
20-24;1.396
25-29;1.216
30-34;1.151
35-39;1.003
40-44;789
45-49;640
50-54;562
55-59;511
60-64;413
65-69;305
70-74;227
75-79;151
80-84;87
85-89;51
90-94;32
95-99;18
100 AÑOS Y MÁS;3
El Molino;
Total;7.879
00-04;667
05-09;689
10-14;679
15-19;651
20-24;647
25-29;646
30-34;617
35-39;565
40-44;468
45-49;414
50-54;408
55-59;393
60-64;336
65-69;258
70-74;169
75-79;112
80-84;78
85-89;44
90-94;24
95-99;12
100 AÑOS Y MÁS;2
Fonseca;
Total;44.544
00-04;5.162
05-09;4.892
10-14;4.280
15-19;3.906
20-24;3.947
25-29;3.940
30-34;3.544
35-39;2.996
40-44;2.378
45-49;2.026
50-54;1.862
55-59;1.671
60-64;1.376
65-69;981
70-74;646
75-79;414
80-84;246
85-89;147
90-94;81
95-99;37
100 AÑOS Y MÁS;12
Hatonuevo;
Total;22.033
00-04;2.473
05-09;2.463
10-14;2.334
15-19;2.298
20-24;2.264
25-29;2.012
30-34;1.714
35-39;1.463
40-44;1.206
45-49;982
50-54;809
55-59;679
60-64;494
65-69;310
70-74;200
75-79;139
80-84;92
85-89;45
90-94;27
95-99;24
100 AÑOS Y MÁS;5
La Jagua del Pilar;
Total;3.834
00-04;366
05-09;402
10-14;417
15-19;381
20-24;338
25-29;309
30-34;274
35-39;239
40-44;210
45-49;204
50-54;191
55-59;149
60-64;104
65-69;85
70-74;64
75-79;40
80-84;30
85-89;18
90-94;9
95-99;4
100 AÑOS Y MÁS;0
Maicao;
Total;185.072
00-04;22.351
05-09;21.672
10-14;19.548
15-19;18.402
20-24;17.826
25-29;15.870
30-34;13.665
35-39;11.868
40-44;9.834
45-49;8.053
50-54;6.947
55-59;6.098
60-64;4.709
65-69;3.288
70-74;2.144
75-79;1.305
80-84;761
85-89;390
90-94;185
95-99;86
100 AÑOS Y MÁS;70
Manaure;
Total;93.431
00-04;13.380
05-09;13.016
10-14;11.525
15-19;10.411
20-24;8.909
25-29;6.885
30-34;5.849
35-39;5.197
40-44;4.451
45-49;3.498
50-54;2.655
55-59;2.253
60-64;1.613
65-69;1.300
70-74;1.076
75-79;657
80-84;370
85-89;202
90-94;107
95-99;53
100 AÑOS Y MÁS;24
San Juan del Cesar;
Total;49.584
00-04;4.559
05-09;4.627
10-14;4.512
15-19;4.475
20-24;4.433
25-29;4.142
30-34;3.677
35-39;3.284
40-44;2.874
45-49;2.608
50-54;2.443
55-59;2.279
60-64;1.866
65-69;1.330
70-74;936
75-79;645
80-84;407
85-89;233
90-94;136
95-99;73
100 AÑOS Y MÁS;45
Uribia;
Total;190.084
00-04;21.361
05-09;21.823
10-14;21.315
15-19;21.245
20-24;19.371
25-29;15.728
30-34;13.628
35-39;11.875
40-44;9.849
45-49;7.729
50-54;6.262
55-59;5.714
60-64;4.039
65-69;3.152
70-74;2.648
75-79;1.749
80-84;1.150
85-89;741
90-94;415
95-99;180
100 AÑOS Y MÁS;110
Urumita;
Total;11.261
00-04;1.039
05-09;1.065
10-14;1.033
15-19;986
20-24;945
25-29;875
30-34;782
35-39;718
40-44;648
45-49;606
50-54;593
55-59;555
60-64;469
65-69;349
70-74;234
75-79;150
80-84;99
85-89;61
90-94;34
95-99;17
100 AÑOS Y MÁS;3
Villanueva;
Total;29.236
00-04;2.949
05-09;2.963
10-14;2.786
15-19;2.545
20-24;2.419
25-29;2.315
30-34;2.120
35-39;1.907
40-44;1.597
45-49;1.446
50-54;1.413
55-59;1.306
60-64;1.116
65-69;855
70-74;589
75-79;382
80-84;248
85-89;157
90-94;81
95-99;31
100 AÑOS Y MÁS;11
Santa Marta;
Total;538.612
00-04;44.213
05-09;45.538
10-14;46.627
15-19;47.931
20-24;48.555
25-29;47.072
30-34;42.824
35-39;39.196
40-44;34.949
45-49;30.526
50-54;27.976
55-59;24.636
60-64;19.722
65-69;14.950
70-74;10.189
75-79;6.180
80-84;3.632
85-89;2.115
90-94;1.104
95-99;441
100 AÑOS Y MÁS;236
Algarrobo;
Total;16.785
00-04;1.905
05-09;1.933
10-14;1.874
15-19;1.684
20-24;1.421
25-29;1.266
30-34;1.135
35-39;996
40-44;886
45-49;802
50-54;733
55-59;649
60-64;508
65-69;372
70-74;247
75-79;160
80-84;108
85-89;56
90-94;29
95-99;17
100 AÑOS Y MÁS;4
Aracataca;
Total;41.492
00-04;4.309
05-09;4.408
10-14;4.415
15-19;4.289
20-24;3.900
25-29;3.307
30-34;2.737
35-39;2.425
40-44;2.218
45-49;2.004
50-54;1.833
55-59;1.615
60-64;1.288
65-69;997
70-74;700
75-79;442
80-84;287
85-89;175
90-94;85
95-99;37
100 AÑOS Y MÁS;21
Ariguaní;
Total;31.794
00-04;3.212
05-09;3.292
10-14;3.252
15-19;3.006
20-24;2.607
25-29;2.369
30-34;2.220
35-39;2.052
40-44;1.848
45-49;1.685
50-54;1.559
55-59;1.355
60-64;1.095
65-69;858
70-74;590
75-79;359
80-84;217
85-89;120
90-94;54
95-99;31
100 AÑOS Y MÁS;13
Cerro San Antonio;
Total;9.941
00-04;996
05-09;972
10-14;915
15-19;857
20-24;783
25-29;717
30-34;669
35-39;621
40-44;562
45-49;539
50-54;507
55-59;427
60-64;365
65-69;350
70-74;267
75-79;177
80-84;104
85-89;55
90-94;32
95-99;22
100 AÑOS Y MÁS;4
Chivolo;
Total;23.388
00-04;2.391
05-09;2.447
10-14;2.409
15-19;2.201
20-24;1.938
25-29;1.798
30-34;1.680
35-39;1.522
40-44;1.360
45-49;1.247
50-54;1.124
55-59;954
60-64;755
65-69;564
70-74;404
75-79;258
80-84;146
85-89;86
90-94;59
95-99;31
100 AÑOS Y MÁS;14
Ciénaga;
Total;124.339
00-04;11.465
05-09;11.820
10-14;12.024
15-19;12.028
20-24;11.426
25-29;10.161
30-34;8.930
35-39;8.204
40-44;7.392
45-49;6.520
50-54;5.946
55-59;5.287
60-64;4.314
65-69;3.279
70-74;2.256
75-79;1.439
80-84;897
85-89;516
90-94;251
95-99;116
100 AÑOS Y MÁS;68
Concordia;
Total;11.227
00-04;902
05-09;973
10-14;1.017
15-19;937
20-24;730
25-29;611
30-34;605
35-39;646
40-44;693
45-49;721
50-54;695
55-59;636
60-64;547
65-69;473
70-74;371
75-79;268
80-84;180
85-89;114
90-94;68
95-99;29
100 AÑOS Y MÁS;11
El Banco;
Total;69.701
00-04;7.167
05-09;7.290
10-14;7.155
15-19;6.674
20-24;5.908
25-29;5.172
30-34;4.536
35-39;4.078
40-44;3.788
45-49;3.509
50-54;3.270
55-59;2.912
60-64;2.375
65-69;1.959
70-74;1.535
75-79;1.064
80-84;667
85-89;376
90-94;188
95-99;65
100 AÑOS Y MÁS;13
El Piñon;
Total;24.083
00-04;2.256
05-09;2.248
10-14;2.175
15-19;2.061
20-24;1.885
25-29;1.660
30-34;1.516
35-39;1.447
40-44;1.436
45-49;1.435
50-54;1.371
55-59;1.203
60-64;940
65-69;762
70-74;591
75-79;410
80-84;281
85-89;171
90-94;86
95-99;59
100 AÑOS Y MÁS;90
El Retén;
Total;21.052
00-04;2.196
